tconst,averageRating,numVotes
tt0111161,9.3,3039453
tt0468569,9.0,3016210
tt1375666,8.8,2679211
tt0137523,8.8,2460784
tt0944947,9.2,2429250
tt0109830,8.8,2375723
tt0816692,8.7,2339759
tt0110912,8.9,2331685
tt0903747,9.5,2324711
tt0133093,8.7,2152626
tt0068646,9.2,2121650
tt0120737,8.9,2104986
tt0167260,9.0,2075134
tt1345836,8.4,1910928
tt0114369,8.6,1908042
tt0167261,8.8,1870964
tt1853728,8.5,1788703
tt0172495,8.5,1756638
tt0993846,8.2,1683890
tt0361748,8.4,1679699
tt0372784,8.2,1644537
tt0102926,8.6,1632604
tt7286456,8.3,1606368
tt0120815,8.6,1567898
tt1130884,8.2,1546976
tt0108052,9.0,1520362
tt0482571,8.5,1512488
tt0848228,8.0,1506329
tt0076759,8.6,1505781
tt0407887,8.5,1485730
tt0120689,8.6,1483360
tt4574334,8.6,1441517
tt0080684,8.7,1439017
tt0499549,7.9,1429527
tt0071562,9.0,1427371
tt0209144,8.4,1377223
tt0088763,8.5,1375599
tt4154796,8.4,1354292
tt0120338,7.9,1337899
tt0099685,8.7,1323656
tt2015381,8.0,1315871
tt0110413,8.5,1301201
tt4154756,8.4,1284623
tt0120382,8.2,1277459
tt0325980,8.1,1264609
tt0910970,8.4,1259272
tt0266697,8.2,1249380
tt0169547,8.3,1247885
tt0103064,8.6,1231045
tt0120586,8.5,1229852
tt0434409,8.1,1213940
tt1431045,8.0,1205000
tt0110357,8.5,1201826
tt0114814,8.5,1188468
tt1049413,8.3,1180141
tt0371746,7.9,1171948
tt0081505,8.4,1165123
tt1392190,8.1,1164029
tt0086190,8.3,1163122
tt0264464,8.1,1163100
tt0266543,8.2,1158848
tt0108778,8.9,1142799
tt1520211,8.1,1139956
tt0119217,8.3,1135814
tt0338013,8.3,1135109
tt0105236,8.3,1131253
tt0112573,8.3,1128440
tt0114709,8.3,1121095
tt0477348,8.2,1120383
tt2267998,8.1,1119643
tt0107290,8.2,1117913
tt0073486,8.7,1115258
tt0167404,8.2,1098202
tt0082971,8.4,1073052
tt2582802,8.5,1072121
tt6751668,8.5,1059684
tt1475582,9.0,1046720
tt1392170,7.2,1041970
tt0198781,8.1,1026584
tt0268978,8.2,1021062
tt0078748,8.5,1014596
tt2488496,7.8,998408
tt1201607,8.1,996114
tt0095016,8.2,989243
tt0075314,8.2,977352
tt1675434,8.5,976834
tt3659388,8.0,967142
tt0253474,8.5,966921
tt0086250,8.3,964084
tt0088247,8.1,963609
tt2395427,7.3,958707
tt1160419,8.0,954848
tt10872600,8.2,949323
