id,ordering,personId,Category,Job,characters
tt0027977,1,nm0000122,actor,NULL,"[""A Factory Worker""]"
tt0027977,2,nm0002104,actress,NULL,"[""A Gamin""]"
tt0027977,3,nm0074788,actor,NULL,"[""Cafe Proprietor""]"
tt0027977,4,nm0761866,actor,NULL,"[""Big Bill""]"
tt0027977,5,nm0174682,actor,NULL,"[""Mechanic""]"
tt0027977,6,nm0003424,actor,NULL,"[""Burglar""]"
tt0027977,7,nm0090008,actor,NULL,"[""Gamin's Father""]"
tt0027977,8,nm0305087,actor,NULL,"[""President of the Electro Steel Corp.""]"
tt0027977,9,nm0018685,actor,NULL,"[""Prison Cellmate""]"
tt0027977,10,nm0721637,actor,NULL,"[""Minister""]"
tt0027977,11,nm0000122,director,director,NULL
tt0027977,12,nm0000122,writer,written by,NULL
tt0027977,13,nm0000122,composer,composer,NULL
tt0027977,14,nm0005806,cinematographer,cinematographer,NULL
tt0027977,15,nm0005906,cinematographer,cinematographer,NULL
tt0031381,1,nm0000022,actor,NULL,"[""Rhett Butler - Visitor from Charleston""]"
tt0031381,2,nm0000046,actress,NULL,"[""Scarlett O'Hara - Their Daughter""]"
tt0031381,3,nm0593775,actor,NULL,"[""Gerald O'Hara""]"
tt0031381,4,nm0641966,actress,NULL,"[""Ellen O'Hara - Gerald's Wife""]"
tt0031381,5,nm0450810,actress,NULL,"[""Suellen O'Hara - Their Daughter""]"
tt0031381,6,nm0751946,actress,NULL,"[""Carreen O'Hara - Their Daughter""]"
tt0031381,7,nm0001660,actor,NULL,"[""Brent Tarleton - Scarlett's Beau""]"
tt0031381,8,nm0186347,actor,NULL,"[""Stuart Tarleton - Scarlett's Beau""]"
tt0031381,9,nm0567408,actress,NULL,"[""Mammy - House Servant""]"
tt0031381,10,nm0689318,actor,NULL,"[""Pork - House Servant""]"
tt0031381,11,nm0281808,director,NULL,NULL
tt0031381,12,nm0593565,writer,"story of the Old South ""Gone with the Wind""",NULL
tt0031381,13,nm0397608,writer,screen play by,NULL
tt0031381,14,nm0006388,producer,producer,NULL
tt0031381,15,nm0000070,composer,composer,NULL
tt0031381,16,nm0005735,cinematographer,cinematographer,NULL
tt0031381,17,nm0580017,production_designer,production_designer,NULL
tt0032138,1,nm0000023,actress,NULL,"[""Dorothy""]"
tt0032138,2,nm0604656,actor,NULL,"[""Professor Marvel""]"
tt0032138,3,nm0001961,actor,NULL,"[""Hunk""]"
tt0032138,4,nm0481618,actor,NULL,"[""Zeke""]"
tt0032138,5,nm0355095,actor,NULL,"[""Hickory""]"
tt0032138,6,nm0000992,actress,NULL,"[""Glinda""]"
tt0032138,7,nm0002121,actress,NULL,"[""Miss Gulch""]"
tt0032138,8,nm0335788,actor,NULL,"[""Uncle Henry""]"
tt0032138,9,nm0909930,actor,NULL,"[""Nikko""]"
tt0032138,10,nm0087404,actress,NULL,"[""Auntie Em""]"
tt0032138,11,nm0281808,director,NULL,NULL
tt0032138,12,nm0486538,writer,screenplay,NULL
tt0032138,13,nm0753249,writer,screenplay,NULL
tt0032138,14,nm0941138,writer,screenplay,NULL
tt0032138,15,nm0000875,writer,from the book by,NULL
tt0032138,16,nm0503777,producer,producer,NULL
tt0032138,17,nm0005849,cinematographer,cinematographer,NULL
tt0032138,18,nm0786568,editor,NULL,NULL
tt0033467,1,nm0000080,actor,NULL,"[""Kane""]"
tt0033467,2,nm0001072,actor,NULL,"[""Jedediah Leland""]"
tt0033467,3,nm0001072,actor,NULL,"[""Screening Room Reporter""]"
tt0033467,4,nm0173827,actress,NULL,"[""Susan Alexander Kane""]"
tt0033467,5,nm0001547,actress,NULL,"[""Mary Kane""]"
tt0033467,6,nm0913095,actress,NULL,"[""Emily Monroe Norton Kane""]"
tt0033467,7,nm0172615,actor,NULL,"[""James W. Gettys""]"
tt0033467,8,nm0762557,actor,NULL,"[""Herbert Carter""]"
tt0033467,9,nm0762557,actor,NULL,"[""Screening Room Reporter""]"
tt0033467,10,nm0806041,actor,NULL,"[""Mr. Bernstein""]"
tt0033467,11,nm0020041,actor,NULL,"[""Jerry Thompson""]"
tt0033467,12,nm0829717,actor,NULL,"[""Raymond""]"
tt0033467,13,nm0000080,director,NULL,NULL
tt0033467,14,nm0542534,writer,original screen play,NULL
tt0033467,15,nm0000080,writer,original screen play,NULL
tt0033467,16,nm0000080,producer,producer,NULL
tt0033467,17,nm0002136,composer,NULL,NULL
tt0033467,18,nm0005904,cinematographer,cinematographer,NULL
tt0033467,19,nm0936404,editor,NULL,NULL
tt0034583,1,nm0000007,actor,NULL,"[""Rick Blaine""]"
tt0034583,2,nm0000006,actress,NULL,"[""Ilsa Lund""]"
tt0034583,3,nm0002134,actor,NULL,"[""Victor Laszlo""]"
tt0034583,4,nm0001647,actor,NULL,"[""Captain Louis Renault""]"
tt0034583,5,nm0891998,actor,NULL,"[""Major Heinrich Strasser""]"
tt0034583,6,nm0002113,actor,NULL,"[""Signor Ferrari""]"
tt0034583,7,nm0000048,actor,NULL,"[""Ugarte""]"
tt0034583,8,nm0757064,actor,NULL,"[""Carl""]"
tt0034583,9,nm0495495,actress,NULL,"[""Yvonne""]"
tt0034583,10,nm0933330,actor,NULL,"[""Sam""]"
tt0034583,11,nm0002031,director,NULL,NULL
tt0034583,12,nm16909158,writer,screen play,NULL
tt0034583,13,nm0258493,writer,screen play by,NULL
tt0034583,14,nm0462321,writer,screen play by,NULL
tt0034583,15,nm0122417,writer,from a play by,NULL
tt0034583,16,nm0909259,producer,producer,NULL
tt0034583,17,nm0000070,composer,composer,NULL
tt0034583,18,nm0249186,cinematographer,director of photography,NULL
tt0034583,19,nm0548929,editor,film editor,NULL
tt0038650,1,nm0000071,actor,NULL,"[""George Bailey""]"
tt0038650,2,nm0001656,actress,NULL,"[""Mary Hatch""]"
tt0038650,3,nm0000859,actor,NULL,"[""Mr. Potter""]"
tt0038650,4,nm0593775,actor,NULL,"[""Uncle Billy""]"
tt0038650,5,nm0871287,actor,NULL,"[""Clarence""]"
tt0038650,6,nm0094135,actress,NULL,"[""Mrs. Bailey""]"
tt0038650,7,nm0269709,actor,NULL,"[""Ernie""]"
tt0038650,8,nm0000955,actor,NULL,"[""Bert""]"
tt0038650,9,nm0002108,actress,NULL,"[""Violet""]"
tt0038650,10,nm0912478,actor,NULL,"[""Mr. Gower""]"
tt0038650,11,nm0001008,director,NULL,NULL
tt0038650,12,nm0329304,writer,screenplay by,NULL
tt0038650,13,nm0352443,writer,screenplay by,NULL
tt0038650,14,nm0001008,writer,screenplay by,NULL
tt0038650,15,nm0842485,writer,additional scenes,NULL
tt0038650,16,nm0001008,producer,producer,NULL
tt0038650,17,nm0006323,composer,NULL,NULL
tt0038650,18,nm0005657,cinematographer,director of photography,NULL
tt0038650,19,nm0907900,cinematographer,director of photography,NULL
tt0038650,20,nm0394962,editor,NULL,NULL
tt0045152,1,nm0000037,actor,NULL,"[""Don Lockwood""]"
tt0045152,2,nm0640307,actor,NULL,"[""Cosmo Brown""]"
tt0045152,3,nm0001666,actress,NULL,"[""Kathy Selden""]"
tt0045152,4,nm0353405,actress,NULL,"[""Lina Lamont""]"
tt0045152,5,nm0593612,actor,NULL,"[""R.F. Simpson""]"
tt0045152,6,nm0001998,actress,NULL,"[""Dancer""]"
tt0045152,7,nm0288830,actor,NULL,"[""Roscoe Dexter""]"
tt0045152,8,nm0001549,actress,NULL,"[""Zelda Zanders""]"
tt0045152,9,nm0011625,actress,NULL,"[""Teresa - a Lady-in-Waiting""]"
tt0045152,10,nm0017021,actor,NULL,"[""Call Boy""]"
tt0045152,11,nm0002045,director,NULL,NULL
