personId,Name,BirthYear,DeathYear,Profession,KnownForTitles
nm0000006,Ingrid Bergman,1915,1982,"actress,producer,soundtrack","tt0034583,tt0038109,tt0036855,tt0038787"
nm0000007,Humphrey Bogart,1899,1957,"actor,producer,miscellaneous","tt0034583,tt0043265,tt0033870,tt0037382"
nm0000008,Marlon Brando,1924,2004,"actor,director,writer","tt0078788,tt0068646,tt0047296,tt0070849"
nm0000016,Georges Delerue,1925,1992,"composer,music_department,actor","tt0091763,tt0096320,tt0069946,tt0079477"
nm0000020,Henry Fonda,1905,1982,"actor,producer,miscellaneous","tt0050083,tt0082846,tt0032551,tt0033804"
nm0000022,Clark Gable,1901,1960,"actor,producer,soundtrack","tt0025316,tt0031381,tt0023382,tt0026752"
nm0000023,Judy Garland,1922,1969,"actress,soundtrack,archive_footage","tt0032138,tt0037059,tt0047522,tt0055031"
nm0000024,John Gielgud,1904,2000,"actor,director,writer","tt0082031,tt0071877,tt0045943,tt0028231"
nm0000025,Jerry Goldsmith,1929,2004,"music_department,composer,miscellaneous","tt0119488,tt0077269,tt0117731,tt0112715"
nm0000026,Cary Grant,1904,1986,"actor,producer,soundtrack","tt0036613,tt0032904,tt0032599,tt0056923"
nm0000027,Alec Guinness,1914,2000,"actor,writer,soundtrack","tt0076759,tt0050212,tt0041546,tt0051739"
nm0000032,Charlton Heston,1923,2008,"actor,director,writer","tt0052618,tt0049833,tt0067525,tt0070723"
nm0000033,Alfred Hitchcock,1899,1980,"director,producer,writer","tt0054215,tt0052357,tt0053125,tt0056869"
nm0000035,James Horner,1953,2015,"music_department,composer,actor","tt0120338,tt0499549,tt0120746,tt0177971"
nm0000037,Gene Kelly,1912,1996,"actor,miscellaneous,director","tt0045152,tt0043278,tt0041716,tt0053946"
nm0000038,Grace Kelly,1929,1982,"actress,producer,soundtrack","tt0046912,tt0047396,tt0048728,tt0046874"
nm0000040,Stanley Kubrick,1928,1999,"writer,director,producer","tt0062622,tt0072684,tt0066921,tt0093058"
nm0000041,Akira Kurosawa,1910,1998,"writer,director,assistant_director","tt0089881,tt0051808,tt0080979,tt0057565"
nm0000046,Vivien Leigh,1913,1967,"actress,writer,soundtrack","tt0044081,tt0031381,tt0033238,tt0034272"
nm0000048,Peter Lorre,1904,1964,"actor,writer,director","tt0036613,tt0022100,tt0033870,tt0034583"
nm0000051,James Mason,1909,1984,"actor,producer,writer","tt0056193,tt0047522,tt0053125,tt0039677"
nm0000054,Marilyn Monroe,1926,1962,"actress,writer,soundtrack","tt0053291,tt0045810,tt0048605,tt0045891"
nm0000056,Paul Newman,1925,2008,"actor,producer,director","tt0054997,tt0257044,tt0084855,tt0076723"
nm0000060,Gregory Peck,1916,2003,"actor,producer,miscellaneous","tt0056592,tt0038109,tt0046250,tt0077269"
nm0000063,Anthony Quinn,1915,2001,"actor,producer,director","tt0057831,tt0056172,tt0049456,tt0064952"
nm0000065,Nino Rota,1911,1979,"composer,music_department,actor","tt0068646,tt0063518,tt0071562,tt0056801"
