id,Title,StartYear,EndYear,Runtime,Type
tt0027977,Modern Times,1936,NULL,87,movie
tt0031381,Gone with the Wind,1939,NULL,238,movie
tt0032138,The Wizard of Oz,1939,NULL,102,movie
tt0033467,Citizen Kane,1941,NULL,119,movie
tt0034583,Casablanca,1942,NULL,102,movie
tt0038650,It's a Wonderful Life,1946,NULL,130,movie
tt0045152,Singin' in the Rain,1952,NULL,103,movie
tt0047396,Rear Window,1954,NULL,112,movie
tt0047478,Seven Samurai,1954,NULL,207,movie
tt0050083,12 Angry Men,1957,NULL,96,movie
tt0052357,Vertigo,1958,NULL,128,movie
tt0052618,Ben-Hur,1959,NULL,212,movie
tt0053125,North by Northwest,1959,NULL,136,movie
tt0053291,Some Like It Hot,1959,NULL,121,movie
tt0054215,Psycho,1960,NULL,109,movie
tt0056172,Lawrence of Arabia,1962,NULL,227,movie
tt0056592,To Kill a Mockingbird,1962,NULL,129,movie
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,NULL,95,movie
tt0057115,The Great Escape,1963,NULL,172,movie
tt0059578,For a Few Dollars More,1965,NULL,132,movie
tt0059742,The Sound of Music,1965,NULL,172,movie
tt0060196,"The Good, the Bad and the Ugly",1966,NULL,178,movie
tt0061722,The Graduate,1967,NULL,106,movie
tt0062622,2001: A Space Odyssey,1968,NULL,149,movie
tt0064116,Once Upon a Time in the West,1968,NULL,166,movie
tt0066921,A Clockwork Orange,1971,NULL,136,movie
tt0068646,The Godfather,1972,NULL,175,movie
tt0070047,The Exorcist,1973,NULL,122,movie
tt0070735,The Sting,1973,NULL,129,movie
tt0071315,Chinatown,1974,NULL,130,movie
tt0071562,The Godfather Part II,1974,NULL,202,movie
tt0071853,Monty Python and the Holy Grail,1975,NULL,91,movie
tt0072890,Dog Day Afternoon,1975,NULL,125,movie
tt0073195,Jaws,1975,NULL,124,movie
tt0073486,One Flew Over the Cuckoo's Nest,1975,NULL,133,movie
tt0075148,Rocky,1976,NULL,120,movie
tt0075314,Taxi Driver,1976,NULL,114,movie
tt0075686,Annie Hall,1977,NULL,93,movie
tt0076759,Star Wars: Episode IV - A New Hope,1977,NULL,121,movie
tt0077416,The Deer Hunter,1978,NULL,183,movie
tt0077631,Grease,1978,NULL,110,movie
tt0077651,Halloween,1978,NULL,91,movie
tt0078748,Alien,1979,NULL,117,movie
tt0078788,Apocalypse Now,1979,NULL,147,movie
tt0079470,Monty Python's Life of Brian,1979,NULL,94,movie
tt0080339,Airplane!,1980,NULL,88,movie
tt0080678,The Elephant Man,1980,NULL,124,movie
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,NULL,124,movie
tt0081398,Raging Bull,1980,NULL,129,movie
tt0081505,The Shining,1980,NULL,146,movie
tt0082096,Das Boot,1981,NULL,149,movie
tt0082971,Raiders of the Lost Ark,1981,NULL,115,movie
tt0083658,Blade Runner,1982,NULL,117,movie
tt0083866,E.T. the Extra-Terrestrial,1982,NULL,115,movie
tt0083944,First Blood,1982,NULL,93,movie
tt0084787,The Thing,1982,NULL,109,movie
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,NULL,131,movie
tt0086250,Scarface,1983,NULL,170,movie
tt0086879,Amadeus,1984,NULL,160,movie
tt0087332,Ghostbusters,1984,NULL,105,movie
tt0087469,Indiana Jones and the Temple of Doom,1984,NULL,118,movie
tt0087800,A Nightmare on Elm Street,1984,NULL,91,movie
